,,Remainder,,0,0,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/animation/scroll_timeline.cc,24,Persistent<ActiveScrollTimelineSet>,Link,No,Yes,,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/animation/svg_interpolation_types_map.cc,31,ApplicableTypesMap,Link,No,Yes,,N/A,"Lots of initialization, could be somewhat const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/animation/timing.h,59,Timing,Link,No,No,,,Does not need to be static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/animation/underlying_value_owner.cc,17,NullValueWrapper,Link,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/clipboard/clipboard_utilities_win.cc,37,String,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/clipboard/data_transfer_item.cc,47,const String,Link,Yes,No,Yes,No,Not thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/clipboard/data_transfer_item.cc,48,const String,Link,Yes,No,Yes,No,Not thread-safe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/clipboard/system_clipboard.cc,36,SystemClipboard,Link,No,No,Yes,No,Init once; must be run-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_computed_style_declaration.cc,216,HashSet<CSSPropertyID>,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_computed_style_declaration.cc,230,Vector<const CSSProperty*>,Link,No,Yes,Yes,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_default_style_sheets.cc,48,Persistent<CSSDefaultStyleSheets>,Link,No,Yes,No,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_default_style_sheets.cc,55,Persistent<MediaQueryEvaluator>,Link,No,Yes,Yes,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_default_style_sheets.cc,61,Persistent<MediaQueryEvaluator>,Link,No,Yes,Yes,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_path_value.cc,43,Persistent<CSSPathValue>,Link,No,Yes,Yes,N/A,"Isolate bound, const but can't be const because of APIs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_style_declaration.cc,134,CSSPropertyIDMap,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_style_declaration.cc,192,PreAllocatedPropertyVector,Link,No,No,Yes,No,Return by non-const & =S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/css_style_rule.cc,40,Persistent<SelectorTextCache>,Link,No,Yes,No,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_document.cc,63,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_document.cc,64,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_document.cc,218,CustomCountHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_document.cc,223,EnumerationHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_worker.cc,39,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/font_face_set_worker.cc,40,AtomicString,Link,No,No,Yes,No,"Not thread-safe, should be const",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/local_font_face_source.cc,151,EnumerationHistogram,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/parser/css_tokenizer_test.cc,137,CSSParserToken,Link,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/core/css/properties/longhands/longhands_custom.cc,502,Persistent<CSSValue>,Link,No,Yes,Yes,N/A,Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
