3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
third_party/blink/renderer/core/accessibility/ax_object_cache.h,158,static AXObjectCacheCreateFunction create_function_;,Link,Member,No,Yes,Yes,Function pointer initialized from third_party/blink/renderer/modules/modules_initializer.cc,
third_party/blink/renderer/core/animation/animation_clock_test.cc,51,static double mock_time_;,Link,Member,No,No,No,Test-only mock time.,
third_party/blink/renderer/core/animation/animation_clock.h,73,static unsigned currently_running_task_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/animation/animation.cc,65,static unsigned next = 0;,Link,Local,No,No,No,Can be made thread-safe with AtomicSequenceNumber,
third_party/blink/renderer/core/clipboard/dragged_isolated_file_system.h,28,static FileSystemIdPreparationCallback prepare_callback_;,Link,Member,No,Yes,Yes,Function pointer initialized from third_party/blink/renderer/modules/modules_initializer.cc,
third_party/blink/renderer/core/core_initializer.cc,74,static bool is_registered = false;,Link,Local,No,No,No,Tracks whether a global thread-safe object was created.,
third_party/blink/renderer/core/core_initializer.h,134,static CoreInitializer* instance_;,Link,Member,No,Yes,Yes,We need to check whether CoreInitializer initalizes isolate-bound objects.,
third_party/blink/renderer/core/css/css_paint_image_generator.cc,11,CSSPaintImageGenerator::CSSPaintImageGeneratorCreateFunction g_create_function =,Link,Global,No,Yes,Yes,Function pointer initialized from third_party/blink/renderer/modules/modules_initializer.cc,
third_party/blink/renderer/core/css/css_paint_value_test.cc,76,MockCSSPaintImageGenerator* g_override_generator = nullptr;,Link,Global,No,No,No,Test-only,
third_party/blink/renderer/core/css/font_face_cache.cc,144,static base::AtomicSequenceNumber g_version;,Link,Local,No,No,Yes,,
third_party/blink/renderer/core/css/invalidation/invalidation_set.cc,44,static const unsigned char* g_tracing_enabled = nullptr;,Link,Global,No,No,Yes,Tracing - Non-thread-safe initialization which always leads to the same value,
third_party/blink/renderer/core/css/invalidation/style_invalidator.cc,25,static const unsigned char* g_style_invalidator_tracing_enabled = nullptr;,Link,Global,No,No,Yes,Tracing - Non-thread-safe initialization which always leads to the same value,
